code,name,market,sector_name,sector_code,industry_name,industry_code
000810,삼성화재,KOSPI,금융업,021,보험업,116501
005830,DB손해보험,KOSPI,금융업,021,보험업,116501
005940,NH투자증권,KOSPI,금융업,021,금융지원 서비스업,116601
006800,미래에셋증권,KOSPI,금융업,021,금융지원 서비스업,116601
016360,삼성증권,KOSPI,금융업,021,금융지원 서비스업,116601
024110,기업은행,KOSPI,금융업,021,은행 및 저축기관,116401
029780,삼성카드,KOSPI,금융업,021,기타 금융업,116409
055550,신한지주,KOSPI,금융업,021,기타 금융업,116409
071050,한국금융지주,KOSPI,금융업,021,기타 금융업,116409
086790,하나금융지주,KOSPI,금융업,021,기타 금융업,116409
105560,KB금융,KOSPI,금융업,021,기타 금융업,116409
